id,set,series,publisher,generation,release_date,artist,name,set_num,types,supertype,subtypes,level,hp,evolvesFrom,evolvesTo,abilities,attacks,weaknesses,retreatCost,convertedRetreatCost,rarity,flavorText,nationalPokedexNumbers,legalities,resistances,rules,regulationMark,ancientTrait,cleaned_attacks,cleaned_abilities,cleaned_rules,2021_exception,temp_id,name_card,power_level,tournamentYear
base1-70,Base,Base,WOTC,First,1/9/1999,Keiji Kinebuchi,Clefairy Doll,70,none,Trainer,none,none,10.0,none,none,none,none,none,none,none,Rare,none,none,{'unlimited': 'Legal'},none,"[""Play Clefairy Doll as if it were a Basic Pokémon. While in play, Clefairy Doll counts a a Pokémon (instead of a Trainer card). Clefairy Doll has no attacks, can't retreat, and can't be Asleep, Confused, Paralyzed, or Poisoned. If Clefairy Doll is Knocked Out, it doesn't count as a Knocked Out Pokémon. At any time during your turn before your attack, you may discard Clefairy Doll.""]",none,none,none,none,"""Play Clefairy Doll as if it were a Basic Pokémon. While in play Clefairy Doll counts a a Pokémon (instead of a Trainer card). Clefairy Doll has no attacks cant retreat and cant be Asleep Confused Paralyzed or Poisoned. If Clefairy Doll is Knocked Out it doesnt count as a Knocked Out Pokémon. At any time during your turn before your attack you may discard Clefairy Doll.""",False,Clefairy Doll,,0.0,pre_2021
base1-71,Base,Base,WOTC,First,1/9/1999,Keiji Kinebuchi,Computer Search,71,none,Trainer,none,none,none,none,none,none,none,none,none,none,Rare,none,none,{'unlimited': 'Legal'},none,['Discard 2 of the other cards from your hand in order to search your deck for any card and put it into your hand. Shuffle your deck afterward.'],none,none,none,none,Discard 2 of the other cards from your hand in order to search your deck for any card and put it into your hand. Shuffle your deck afterward.,False,Computer Search,Computer Search,0.01737220447284345,pre_2021
base1-72,Base,Base,WOTC,First,1/9/1999,Keiji Kinebuchi,Devolution Spray,72,none,Trainer,none,none,none,none,none,none,none,none,none,none,Rare,none,none,{'unlimited': 'Legal'},none,"['Choose 1 of your own Pokémon in play and a Stage of Evolution. Discard all Evolution cards of that Stage or higher attached to that Pokémon. That Pokémon is no longer Asleep, Confused, Paralyzed, Poisoned, or anything else that might be the result of an attack (just as if you had evolved it).']",none,none,none,none,Choose 1 of your own Pokémon in play and a Stage of Evolution. Discard all Evolution cards of that Stage or higher attached to that Pokémon. That Pokémon is no longer Asleep Confused Paralyzed Poisoned or anything else that might be the result of an attack (just as if you had evolved it).,False,Devolution Spray,Devolution Spray,0.0007987220447284345,pre_2021
base1-73,Base,Base,WOTC,First,1/9/1999,Ken Sugimori,Impostor Professor Oak,73,none,Trainer,none,none,none,none,none,none,none,none,none,none,Rare,none,none,{'unlimited': 'Legal'},none,"['Your opponent shuffles his or her hand into his or her deck, then draws 7 cards.']",none,none,none,none,Your opponent shuffles his or her hand into his or her deck then draws 7 cards.,False,Impostor Professor Oak,,0.0,pre_2021
base1-74,Base,Base,WOTC,First,1/9/1999,Keiji Kinebuchi,Item Finder,74,none,Trainer,none,none,none,none,none,none,none,none,none,none,Rare,none,none,{'unlimited': 'Legal'},none,['Discard 2 of the other cards from your hand in order to put a Trainer card from your discard pile into your hand.'],none,none,none,none,Discard 2 of the other cards from your hand in order to put a Trainer card from your discard pile into your hand.,False,Item Finder,,0.0,pre_2021
base1-75,Base,Base,WOTC,First,1/9/1999,Ken Sugimori,Lass,75,none,Trainer,none,none,none,none,none,none,none,none,none,none,Rare,none,none,{'unlimited': 'Legal'},none,"['You and your opponent show each other your hands, then shuffle all the Trainer cards from your hands into your decks.']",none,none,none,none,You and your opponent show each other your hands then shuffle all the Trainer cards from your hands into your decks.,False,Lass,,0.0,pre_2021
base1-76,Base,Base,WOTC,First,1/9/1999,Ken Sugimori,Pokémon Breeder,76,none,Trainer,none,none,none,none,none,none,none,none,none,none,Rare,none,none,{'unlimited': 'Legal'},none,['Put a Stage 2 Evolution card from your hand on the matching Basic Pokémon. You can only play this card when you would be allowed to evolve that Pokémon anyway.'],none,none,none,none,Put a Stage 2 Evolution card from your hand on the matching Basic Pokémon. You can only play this card when you would be allowed to evolve that Pokémon anyway.,False,Pokémon Breeder,,0.0,pre_2021
base1-77,Base,Base,WOTC,First,1/9/1999,Ken Sugimori,Pokémon Trader,77,none,Trainer,none,none,none,none,none,none,none,none,none,none,Rare,none,none,{'unlimited': 'Legal'},none,['Trade 1 of the Basic Pokémon or Evolution cards in your hand for 1 of the Basic Pokémon or Evolution cards from your deck. Show both cards to your opponent. Shuffle your deck afterward.'],none,none,none,none,Trade 1 of the Basic Pokémon or Evolution cards in your hand for 1 of the Basic Pokémon or Evolution cards from your deck. Show both cards to your opponent. Shuffle your deck afterward.,False,Pokémon Trader,,0.0,pre_2021
base1-78,Base,Base,WOTC,First,1/9/1999,Keiji Kinebuchi,Scoop Up,78,none,Trainer,none,none,none,none,none,none,none,none,none,none,Rare,none,none,{'unlimited': 'Legal'},none,['Choose 1 of your Pokémon in play and return its Basic Pokémon card to your hand. (Discard all cards attached to that card.)'],none,none,none,none,Choose 1 of your Pokémon in play and return its Basic Pokémon card to your hand. (Discard all cards attached to that card.),False,Scoop Up,,0.0,pre_2021
base1-79,Base,Base,WOTC,First,1/9/1999,Keiji Kinebuchi,Super Energy Removal,79,none,Trainer,none,none,none,none,none,none,none,none,none,none,Rare,none,none,{'unlimited': 'Legal'},none,"[""Discard 1 Energy card attached to 1 of your Pokémon in order to choose 1 of your opponent's Pokémon and up to 2 Energy cards attached to it. Discard those Energy cards.""]",none,none,none,none,"""Discard 1 Energy card attached to 1 of your Pokémon in order to choose 1 of your opponents Pokémon and up to 2 Energy cards attached to it. Discard those Energy cards.""",False,Super Energy Removal,,0.0,pre_2021
base1-80,Base,Base,WOTC,First,1/9/1999,Keiji Kinebuchi,Defender,80,none,Trainer,none,none,none,none,none,none,none,none,none,none,Uncommon,none,none,{'unlimited': 'Legal'},none,"[""Attach Defender to 1 of your Pokémon. At the end of your opponent's next turn, discard Defender. Damage done to that Pokémon by attacks is reduced by 20 (after applying Weakness and Resistance).""]",none,none,none,none,"""Attach Defender to 1 of your Pokémon. At the end of your opponents next turn discard Defender. Damage done to that Pokémon by attacks is reduced by 20 (after applying Weakness and Resistance).""",False,Defender,,0.0,pre_2021
base1-81,Base,Base,WOTC,First,1/9/1999,Keiji Kinebuchi,Energy Retrieval,81,none,Trainer,none,none,none,none,none,none,none,none,none,none,Uncommon,none,none,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",none,['Trade 1 of the other cards in your hand for up to 2 basic Energy cards from your discard pile.'],none,none,none,none,Trade 1 of the other cards in your hand for up to 2 basic Energy cards from your discard pile.,False,Energy Retrieval,Energy Retrieval,0.012579872204472844,pre_2021
base1-82,Base,Base,WOTC,First,1/9/1999,Keiji Kinebuchi,Full Heal,82,none,Trainer,none,none,none,none,none,none,none,none,none,none,Uncommon,none,none,{'unlimited': 'Legal'},none,"['Your Active Pokémon is no longer Asleep, Confused, Paralyzed, or Poisoned.']",none,none,none,none,Your Active Pokémon is no longer Asleep Confused Paralyzed or Poisoned.,False,Full Heal,,0.0,pre_2021
