id,set,series,publisher,generation,release_date,artist,name,set_num,types,supertype,subtypes,level,hp,evolvesFrom,evolvesTo,abilities,attacks,weaknesses,retreatCost,convertedRetreatCost,rarity,flavorText,nationalPokedexNumbers,legalities,resistances,rules,regulationMark,ancientTrait,cleaned_attacks,cleaned_abilities,cleaned_rules,2021_exception,temp_id,power_level,tournamentYear
bw7-46,Boundaries Crossed,Black & White,TPCI,Fifth,11/7/2012,Kouki Saitou,Cryogonal,46,['Water'],Pokémon,['Basic'],none,90.0,none,none,none,"[{'name': 'Ice Edge', 'cost': ['Water', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '20+', 'text': 'Flip a coin. If heads, this attack does 20 more damage.'}]","[{'type': 'Metal', 'value': '×2'}]",['Colorless'],1.0,Uncommon,They are born in snow clouds. They use chains made of ice crystals to capture prey.,[615],"{'unlimited': 'Legal', 'expanded': 'Legal'}",none,none,none,none,name: Ice Edge cost: Water Colorless convertedEnergyCost: 2 damage: 20+ text: Flip a coin. If heads this attack does 20 more damage.,none,none,False,46-cryogonal,0.003787878787878788,2021
xy5-24,Primal Clash,XY,TPCI,Sixth,2/4/2015,Kagemaru Himeno,Magcargo,24,['Fire'],Pokémon,['Stage 1'],none,110.0,Slugma,none,none,"[{'name': 'Ram', 'cost': ['Fire', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '30', 'text': ''}, {'name': 'Indomitable Blaze', 'cost': ['Fire', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '60+', 'text': ""If your opponent's Active Pokémon is a Pokémon-EX, this attack does 60 more damage.""}]","[{'type': 'Water', 'value': '×2'}]","['Colorless', 'Colorless', 'Colorless']",3.0,Rare,Its body is as hot as lava and is always billowing. Flames will occasionally burst from its shell.,[219],"{'unlimited': 'Legal', 'expanded': 'Legal'}",none,none,none,"{'name': 'Ω Barrier', 'text': 'Whenever your opponent plays a Trainer card (excluding Pokémon Tools and Stadium cards), prevent all effects of that card done to this Pokémon.'}","name: Ram cost: Fire Colorless convertedEnergyCost: 2 damage: 30 text:  name: Indomitable Blaze cost: Fire Colorless Colorless convertedEnergyCost: 3 damage: 60+ text: ""If your opponents Active Pokémon is a Pokémon-EX this attack does 60 more damage.""",none,none,False,24-magcargo,0.06060606060606061,2021
smp-SM107,SM Black Star Promos,Sun & Moon,TPCI,Seventh,2/3/2017,Shin Nagasawa,Dusk Mane Necrozma,SM107,['Metal'],Pokémon,"['Basic', 'Ultra Beast']",none,130.0,none,none,none,"[{'name': 'Dusk Shot', 'cost': ['Metal'], 'convertedEnergyCost': 1, 'damage': '', 'text': ""This attack does 60 damage to 1 of your opponent's Pokémon-GX or Pokémon-EX. This damage isn't affected by Weakness or Resistance.""}, {'name': 'Rusty Claws', 'cost': ['Metal', 'Metal', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '100+', 'text': 'If your opponent has exactly 1 Prize card remaining, this attack does 100 more damage.'}]","[{'type': 'Fire', 'value': '×2'}]","['Colorless', 'Colorless']",2.0,Promo,This is its form with it is devouring the light of Solgaleo. It pounces on its foes and then slashes them with the claws on its four limbs and back.,[800],"{'unlimited': 'Legal', 'expanded': 'Legal'}","[{'type': 'Psychic', 'value': '-20'}]",none,none,none,"name: Dusk Shot cost: Metal convertedEnergyCost: 1 damage:  text: ""This attack does 60 damage to 1 of your opponents Pokémon-GX or Pokémon-EX. This damage isnt affected by Weakness or Resistance."" name: Rusty Claws cost: Metal Metal Colorless convertedEnergyCost: 3 damage: 100+ text: If your opponent has exactly 1 Prize card remaining this attack does 100 more damage.",none,none,True,107-duskmanenecrozma,0.003787878787878788,2021
smp-SM117,SM Black Star Promos,Sun & Moon,TPCI,Seventh,2/3/2017,Shin Nagasawa,Malamar,SM117,['Psychic'],Pokémon,['Stage 1'],none,90.0,Inkay,none,"[{'name': 'Psychic Recharge', 'text': 'Once during your turn (before your attack), you may attach a Psychic Energy card from your discard pile to 1 of your Benched Pokémon.', 'type': 'Ability'}]","[{'name': 'Psychic Sphere', 'cost': ['Psychic', 'Psychic', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '60', 'text': ''}]","[{'type': 'Psychic', 'value': '×2'}]","['Colorless', 'Colorless']",2.0,Promo,"It lures prey close with hypnotic motions, then wraps its tentacles around it before finishing it off with digestive fluids.",[687],"{'unlimited': 'Legal', 'expanded': 'Legal'}",none,none,none,none,name: Psychic Sphere cost: Psychic Psychic Colorless convertedEnergyCost: 3 damage: 60 text: ,name: Psychic Recharge text: Once during your turn (before your attack) you may attach a Psychic Energy card from your discard pile to 1 of your Benched Pokémon. type: Ability,none,True,117-malamar,0.011363636363636364,2021
smp-SM151,SM Black Star Promos,Sun & Moon,TPCI,Seventh,2/3/2017,Shin Nagasawa,Giratina,SM151,['Psychic'],Pokémon,['Basic'],none,130.0,none,none,"[{'name': 'Distortion Door', 'text': ""Once during your turn (before your attack), if this Pokémon is in your discard pile, you may put it onto your Bench. If you do, put 1 damage counter on 2 of your opponent's Benched Pokémon."", 'type': 'Ability'}]","[{'name': 'Shadow Impact', 'cost': ['Psychic', 'Psychic', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '130', 'text': 'Put 4 damage counters on 1 of your Pokémon.'}]","[{'type': 'Darkness', 'value': '×2'}]","['Colorless', 'Colorless', 'Colorless']",3.0,Promo,It was banished for its violence. It silently gazed upon the old world from the Distortion World.,[487],"{'unlimited': 'Legal', 'expanded': 'Legal'}","[{'type': 'Fighting', 'value': '-20'}]",none,none,none,name: Shadow Impact cost: Psychic Psychic Colorless convertedEnergyCost: 3 damage: 130 text: Put 4 damage counters on 1 of your Pokémon.,"name: Distortion Door text: ""Once during your turn (before your attack) if this Pokémon is in your discard pile you may put it onto your Bench. If you do put 1 damage counter on 2 of your opponents Benched Pokémon."" type: Ability",none,True,151-giratina,0.003787878787878788,2021
smp-SM159,SM Black Star Promos,Sun & Moon,TPCI,Seventh,2/3/2017,Misa Tsutsui,Zapdos,SM159,['Lightning'],Pokémon,['Basic'],none,110.0,none,none,none,"[{'name': 'Thunderous Assault', 'cost': ['Lightning'], 'convertedEnergyCost': 1, 'damage': '10+', 'text': ""If this Pokémon was on the Bench and became your Active Pokémon this turn, this attack does 70 more damage. This attack's damage isn't affected by Weakness.""}]","[{'type': 'Lightning', 'value': '×2'}]","['Colorless', 'Colorless']",2.0,Promo,A legendary Pokémon that is said to live in thunderclouds. It freely controls lightning bolts.,[145],"{'unlimited': 'Legal', 'expanded': 'Legal'}","[{'type': 'Fighting', 'value': '-20'}]",none,none,none,"name: Thunderous Assault cost: Lightning convertedEnergyCost: 1 damage: 10+ text: ""If this Pokémon was on the Bench and became your Active Pokémon this turn this attack does 70 more damage. This attacks damage isnt affected by Weakness.""",none,none,True,159-zapdos,0.007575757575757576,2021
smp-SM161,SM Black Star Promos,Sun & Moon,TPCI,Seventh,2/3/2017,Mizue,Jirachi,SM161,['Metal'],Pokémon,['Basic'],none,70.0,none,none,"[{'name': 'Stellar Wish', 'text': 'Once during your turn (before your attack), if this Pokémon is your Active Pokémon, you may look at the top 5 cards of your deck, reveal a Trainer card you find there, and put it into your hand. Then, shuffle the other cards back into your deck, and this Pokémon is now Asleep.', 'type': 'Ability'}]","[{'name': 'Slap', 'cost': ['Metal', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '30', 'text': ''}]","[{'type': 'Fire', 'value': '×2'}]",['Colorless'],1.0,Promo,It is said to have the ability to grant any wish for just one week every thousand years.,[385],"{'unlimited': 'Legal', 'expanded': 'Legal'}","[{'type': 'Psychic', 'value': '-20'}]",none,none,none,name: Slap cost: Metal Colorless convertedEnergyCost: 2 damage: 30 text: ,name: Stellar Wish text: Once during your turn (before your attack) if this Pokémon is your Active Pokémon you may look at the top 5 cards of your deck reveal a Trainer card you find there and put it into your hand. Then shuffle the other cards back into your deck and this Pokémon is now Asleep. type: Ability,none,True,161-jirachi,0.17424242424242425,2021
smp-SM168,SM Black Star Promos,Sun & Moon,TPCI,Seventh,2/3/2017,kawayoo,Pikachu & Zekrom-GX,SM168,['Lightning'],Pokémon,"['Basic', 'TAG TEAM', 'GX']",none,240.0,none,['Raichu'],none,"[{'name': 'Full Blitz', 'cost': ['Lightning', 'Lightning', 'Lightning'], 'convertedEnergyCost': 3, 'damage': '150', 'text': 'Search your deck for up to 3 Lightning Energy cards and attach them to 1 of your Pokémon. Then, shuffle your deck.'}, {'name': 'Tag Bolt-GX', 'cost': ['Lightning', 'Lightning', 'Lightning'], 'convertedEnergyCost': 3, 'damage': '200', 'text': ""If this Pokémon has at least 3 extra Lightning Energy attached to it (in addition to this attack's cost), this attack does 170 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) (You can't use more than 1 GX attack in a game.)""}]","[{'type': 'Fighting', 'value': '×2'}]","['Colorless', 'Colorless', 'Colorless']",3.0,Promo,none,"[25, 644]","{'unlimited': 'Legal', 'expanded': 'Legal'}","[{'type': 'Metal', 'value': '-20'}]","['TAG TEAM rule: When your TAG TEAM is Knocked Out, your opponent takes 3 Prize cards.']",none,none,"name: Full Blitz cost: Lightning Lightning Lightning convertedEnergyCost: 3 damage: 150 text: Search your deck for up to 3 Lightning Energy cards and attach them to 1 of your Pokémon. Then shuffle your deck. name: Tag Bolt-GX cost: Lightning Lightning Lightning convertedEnergyCost: 3 damage: 200 text: ""If this Pokémon has at least 3 extra Lightning Energy attached to it (in addition to this attacks cost) this attack does 170 damage to 1 of your opponents Benched Pokémon. (Dont apply Weakness and Resistance for Benched Pokémon.) (You cant use more than 1 GX attack in a game.)""",none,TAG TEAM rule: When your TAG TEAM is Knocked Out your opponent takes 3 Prize cards.,True,168-pikachu&zekrom-gx,0.045454545454545456,2021
smp-SM179,SM Black Star Promos,Sun & Moon,TPCI,Seventh,2/3/2017,Hasuno,Volcanion,SM179,['Fire'],Pokémon,['Basic'],none,120.0,none,none,none,"[{'name': 'Flare Starter', 'cost': ['Fire'], 'convertedEnergyCost': 1, 'damage': '', 'text': ""Search your deck for a Fire Energy card and attach it to 1 of your Pokémon. If you go second and it's your first turn, instead search for up to 3 Fire Energy cards and attach them to your Pokémon in any way you like. Then, shuffle your deck.""}, {'name': 'High-Heat Blast', 'cost': ['Fire', 'Fire'], 'convertedEnergyCost': 2, 'damage': '50+', 'text': 'If you have at least 4 Fire Energy in play, this attack does 60 more damage.'}]","[{'type': 'Water', 'value': '×2'}]","['Colorless', 'Colorless']",2.0,Promo,It lets out billows of steam and disappears into the dense fog. It's said to live in mountains where humans do not tread.,[721],"{'unlimited': 'Legal', 'expanded': 'Legal'}",none,none,none,none,"name: Flare Starter cost: Fire convertedEnergyCost: 1 damage:  text: ""Search your deck for a Fire Energy card and attach it to 1 of your Pokémon. If you go second and its your first turn instead search for up to 3 Fire Energy cards and attach them to your Pokémon in any way you like. Then shuffle your deck."" name: High-Heat Blast cost: Fire Fire convertedEnergyCost: 2 damage: 50+ text: If you have at least 4 Fire Energy in play this attack does 60 more damage.",none,none,True,179-volcanion,0.03409090909090909,2021
smp-SM191,SM Black Star Promos,Sun & Moon,TPCI,Seventh,2/3/2017,sui,Mewtwo & Mew-GX,SM191,['Psychic'],Pokémon,"['Basic', 'TAG TEAM', 'GX']",none,270.0,none,none,"[{'name': 'Perfection', 'text': 'This Pokémon can use the attacks of any Pokémon-GX or Pokémon-EX on your Bench or in your discard pile. (You still need the necessary Energy to use each attack.)', 'type': 'Ability'}]","[{'name': 'Miraculous Duo-GX', 'cost': ['Psychic', 'Psychic', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '200', 'text': ""If this Pokémon has at least 1 extra Energy attached to it (in addition to this attack's cost), heal all damage from all of your Pokémon. (You can't use more than 1 GX attack in a game.)""}]","[{'type': 'Psychic', 'value': '×2'}]","['Colorless', 'Colorless']",2.0,Promo,none,"[150, 151]","{'unlimited': 'Legal', 'expanded': 'Legal'}",none,"['TAG TEAM rule: When your TAG TEAM is Knocked Out, your opponent takes 3 Prize cards.']",none,none,"name: Miraculous Duo-GX cost: Psychic Psychic Colorless convertedEnergyCost: 3 damage: 200 text: ""If this Pokémon has at least 1 extra Energy attached to it (in addition to this attacks cost) heal all damage from all of your Pokémon. (You cant use more than 1 GX attack in a game.)""",name: Perfection text: This Pokémon can use the attacks of any Pokémon-GX or Pokémon-EX on your Bench or in your discard pile. (You still need the necessary Energy to use each attack.) type: Ability,TAG TEAM rule: When your TAG TEAM is Knocked Out your opponent takes 3 Prize cards.,True,191-mewtwo&mew-gx,0.06439393939393939,2021
